engine_id,operating_hour,hours_since_last_overhaul,days_since_last_maintenance,load_percent,rpm,exhaust_gas_temp_c,exhaust_gas_temp_deviation_c,cooling_water_temp_c,lube_oil_pressure_bar,lube_oil_temp_c,fuel_consumption_rate_kg_h,turbocharger_rpm,vibration_mm_s,lube_oil_fe_ppm,lube_oil_cu_ppm,ambient_temp_c,sea_state,fuel_air_ratio,injection_timing_deg_btdc,remaining_useful_life_hours,anomaly_flag,failure_event,failure_within_48h
ENG-01,56,56,13,87.8,856.5,399.3,1.87,70.98,3.981,61.77,219.32,20256.0,2.486,5.97,8.16,30.2,Calm,0.0563,18.89,444,0,0,0
ENG-01,57,57,13,86.8,862.4,405.1,1.54,71.26,4.194,61.46,217.19,19952.0,2.263,5.24,7.95,31.5,Calm,0.0596,18.0,443,0,0,0
ENG-01,58,58,13,84.33,854.9,408.7,5.51,71.84,4.153,59.31,210.34,20140.0,2.401,5.26,8.32,30.6,Calm,0.0572,18.98,442,0,0,0
ENG-01,59,59,13,81.28,861.4,395.3,4.95,71.88,4.105,61.7,212.85,20032.0,2.329,6.5,7.94,29.8,Calm,0.0589,18.57,441,0,0,0
ENG-01,60,60,13,84.71,859.7,406.1,1.05,68.9,4.242,60.95,219.66,20466.0,2.473,5.45,8.25,30.0,Calm,0.0545,19.05,440,0,0,0
ENG-01,61,61,13,88.4,867.4,410.5,8.25,72.8,4.076,60.42,220.76,20874.0,2.458,5.6,8.26,30.2,Calm,0.0548,18.74,439,0,0,0
ENG-01,62,62,13,86.99,865.7,400.0,8.02,71.05,4.047,58.45,217.41,20256.0,2.28,5.78,8.21,31.5,Calm,0.058,18.4,438,0,0,0
ENG-01,63,63,13,86.32,866.8,405.2,0.25,72.64,3.988,59.71,208.14,20613.0,2.229,5.31,7.89,30.2,Calm,0.0564,18.71,437,0,0,0
ENG-01,64,64,13,86.21,852.2,400.1,2.87,71.93,4.228,59.85,219.91,21014.0,2.242,5.32,8.35,30.8,Calm,0.0594,18.61,436,0,0,0
ENG-01,65,65,13,84.99,859.8,400.6,4.22,70.65,3.993,61.14,214.82,20836.0,2.25,5.76,8.04,29.5,Calm,0.0584,18.69,435,0,0,0
ENG-01,66,66,13,87.13,857.4,404.8,1.27,71.51,4.076,61.79,209.78,20542.0,2.525,5.59,7.95,30.0,Calm,0.0597,18.59,434,0,0,0
ENG-01,67,67,13,81.33,858.2,401.8,1.98,70.34,4.063,56.44,219.96,19935.0,2.468,7.75,7.91,31.4,Calm,0.0583,18.47,433,0,0,0
ENG-01,68,68,13,87.2,862.7,401.5,1.28,72.11,4.208,58.7,217.07,20334.0,2.474,6.29,7.85,31.7,Calm,0.0559,19.22,432,0,0,0
ENG-01,69,69,13,85.11,850.1,410.3,4.03,70.83,4.126,59.2,217.17,20665.0,2.284,6.66,8.08,30.9,Calm,0.0586,18.26,431,0,0,0
ENG-01,70,70,13,79.48,857.9,399.9,2.24,71.54,4.102,61.91,219.66,21022.0,2.363,7.3,7.88,30.4,Calm,0.0537,18.89,430,0,0,0
ENG-01,71,71,13,86.0,852.7,402.5,4.59,72.4,3.931,58.14,212.17,20037.0,2.365,5.39,8.67,29.5,Calm,0.0569,18.62,429,0,0,0
ENG-01,72,72,14,82.7,864.4,408.7,2.27,70.81,4.246,59.18,211.53,19940.0,2.229,5.68,9.07,29.1,Calm,0.056,19.41,428,0,0,0
ENG-01,73,73,14,86.66,878.7,402.0,4.55,70.82,4.29,59.71,218.92,20463.0,2.407,5.27,8.11,32.1,Calm,0.0557,18.37,427,0,0,0
ENG-01,74,74,14,86.27,865.3,405.6,4.62,72.36,4.074,58.77,215.61,20159.0,2.543,6.1,8.48,32.0,Calm,0.0572,19.49,426,0,0,0
ENG-01,75,75,14,82.86,857.3,404.8,6.37,72.4,4.064,60.3,210.8,20352.0,2.505,6.25,7.99,31.8,Calm,0.0574,18.56,425,0,0,0
ENG-01,76,76,14,79.78,856.9,404.9,2.84,71.04,4.111,59.04,213.87,20534.0,2.295,6.53,8.43,30.8,Calm,0.0552,18.77,424,0,0,0
ENG-01,77,77,14,80.42,860.6,396.9,0.1,69.92,4.16,59.87,203.21,20146.0,2.227,7.84,8.72,30.2,Calm,0.0592,18.47,423,0,0,0
ENG-01,78,78,14,85.44,864.9,401.9,3.59,69.79,4.208,61.43,209.4,20044.0,2.347,5.66,8.65,32.2,Calm,0.056,18.71,422,0,0,0
ENG-01,79,79,14,84.25,856.6,404.0,4.31,68.67,4.164,57.86,224.33,20813.0,2.374,7.32,8.4,30.8,Calm,0.0571,18.42,421,0,0,0
ENG-01,80,80,14,81.38,865.6,400.5,3.16,73.18,4.209,62.1,214.03,20298.0,2.301,5.69,7.93,29.8,Calm,0.059,18.39,420,0,0,0
ENG-01,81,81,14,90.1,866.1,401.1,3.67,69.81,4.163,61.22,212.95,20264.0,2.348,5.38,8.42,30.3,Calm,0.0544,18.91,419,0,0,0
ENG-01,82,82,14,81.22,861.6,409.1,2.05,74.26,4.104,57.97,211.17,20872.0,2.319,6.02,8.17,31.6,Calm,0.0575,19.0,418,0,0,0
ENG-01,83,83,14,84.32,851.4,407.4,3.3,72.47,4.173,60.7,211.87,20152.0,2.29,5.79,8.23,32.9,Calm,0.0563,18.73,417,0,0,0
ENG-01,84,84,14,80.86,851.8,403.7,2.43,72.05,4.239,62.71,220.39,20576.0,2.343,5.37,7.99,32.6,Calm,0.0591,18.88,416,0,0,0
ENG-01,85,85,14,84.66,854.7,404.7,3.16,72.55,4.184,62.7,211.89,20272.0,2.275,5.4,8.17,28.8,Calm,0.0557,18.47,415,0,0,0
ENG-01,86,86,14,85.96,874.9,407.1,3.71,72.71,4.311,61.76,216.14,20574.0,2.349,5.25,8.88,31.1,Calm,0.0601,18.82,414,0,0,0
ENG-01,87,87,14,86.27,861.8,399.4,1.12,73.24,4.104,61.03,223.37,20539.0,2.248,5.31,8.09,31.1,Calm,0.0568,18.92,413,0,0,0
ENG-01,88,88,14,84.32,858.4,398.7,2.88,73.25,4.394,61.48,214.5,21088.0,2.51,5.33,8.07,30.1,Calm,0.0555,19.12,412,0,0,0
ENG-01,89,89,14,86.92,857.3,399.7,1.5,72.02,4.051,61.92,204.06,20257.0,2.302,6.05,8.23,30.7,Calm,0.0584,19.4,411,0,0,0
ENG-01,90,90,14,82.85,859.1,401.3,5.49,68.69,4.107,61.57,216.85,20145.0,2.306,6.91,7.91,30.8,Calm,0.06,18.57,410,0,0,0
ENG-01,91,91,14,79.51,861.5,406.9,0.25,69.45,4.249,59.6,220.71,20223.0,2.218,6.16,8.92,30.5,Calm,0.056,18.55,409,0,0,0
ENG-01,92,92,14,82.0,855.0,400.1,0.83,74.28,4.241,59.2,218.17,20179.0,2.466,7.01,7.89,28.9,Calm,0.0565,19.42,408,0,0,0
ENG-01,93,93,14,80.99,862.4,406.8,4.92,69.75,4.174,60.17,215.75,20343.0,2.222,5.85,8.38,31.4,Calm,0.0594,18.16,407,0,0,0
ENG-01,94,94,14,85.25,866.2,403.1,2.2,72.01,4.151,64.97,202.98,20809.0,2.292,5.51,8.56,31.7,Calm,0.0556,18.73,406,0,0,0
ENG-01,95,95,14,79.73,865.3,399.0,2.13,73.07,4.175,59.57,213.48,20454.0,2.216,5.47,8.0,30.6,Calm,0.0566,18.76,405,0,0,0
ENG-01,96,96,15,80.95,862.5,398.8,1.41,71.62,4.082,62.63,216.08,20084.0,2.231,5.93,7.88,29.8,Calm,0.0553,19.16,404,0,0,0
ENG-01,97,97,15,86.34,873.9,412.6,1.04,69.39,4.013,61.51,213.83,20621.0,2.387,5.85,8.38,31.4,Calm,0.0565,18.83,403,0,0,0
ENG-01,98,98,15,84.66,861.9,397.8,1.08,72.54,4.163,60.22,213.42,20614.0,2.527,6.84,7.95,31.6,Calm,0.059,18.52,402,0,0,0
ENG-01,99,99,15,86.7,853.8,406.3,1.83,73.06,4.18,65.47,214.38,20405.0,2.748,5.6,8.48,31.6,Calm,0.0551,18.95,401,0,0,0
ENG-01,100,100,15,83.29,866.6,407.8,5.72,71.2,3.969,57.6,212.18,20575.0,2.485,6.65,8.14,30.4,Calm,0.0562,19.04,400,0,0,0
ENG-01,101,101,15,82.8,866.2,403.1,2.93,73.95,4.22,62.97,212.31,20202.0,2.401,6.78,8.11,31.8,Calm,0.0608,18.53,399,0,0,0
ENG-01,102,102,15,80.71,852.9,399.0,3.52,71.62,4.118,61.77,211.56,20086.0,2.217,7.14,7.82,31.1,Calm,0.0586,19.06,398,0,0,0
ENG-01,103,103,15,85.38,870.5,400.3,6.42,72.51,4.12,60.24,222.77,20288.0,2.343,5.57,8.43,32.4,Calm,0.055,18.46,397,0,0,0
ENG-01,104,104,15,81.75,864.4,401.0,3.72,71.61,4.231,60.44,210.22,20842.0,2.324,5.41,8.01,31.7,Calm,0.0573,18.55,396,0,0,0
ENG-01,105,105,15,77.27,862.2,406.6,1.16,69.84,4.317,58.69,224.6,20881.0,2.259,6.01,8.57,31.7,Calm,0.0577,19.01,395,0,0,0
ENG-01,106,106,15,86.35,858.5,399.6,2.84,72.38,4.024,61.67,213.92,20792.0,2.331,5.73,8.15,31.4,Calm,0.0563,18.58,394,0,0,0
ENG-01,107,107,15,86.57,858.2,407.9,3.71,71.66,4.299,59.58,216.02,21139.0,2.443,5.5,8.37,29.6,Calm,0.0594,18.67,393,0,0,0
ENG-01,108,108,15,83.78,846.6,398.0,5.69,72.76,3.991,63.39,221.6,19952.0,2.268,8.13,7.82,31.4,Calm,0.0562,19.04,392,0,0,0
ENG-01,109,109,15,84.37,865.0,404.7,3.11,72.69,4.096,60.72,211.98,20455.0,2.288,7.2,8.84,31.1,Calm,0.0574,19.08,391,0,0,0
ENG-01,110,110,15,84.67,856.4,404.9,2.24,71.83,4.295,61.54,216.86,20405.0,2.258,5.4,8.16,29.6,Calm,0.0583,18.77,390,0,0,0
ENG-01,111,111,15,81.31,844.3,406.9,3.63,70.97,4.019,60.41,210.79,20567.0,2.452,5.65,8.36,30.9,Calm,0.0577,18.98,389,0,0,0
ENG-01,112,112,15,88.27,854.2,408.0,2.68,73.11,4.256,62.06,217.8,19793.0,2.243,6.24,7.83,30.3,Calm,0.0586,19.31,388,0,0,0
ENG-01,113,113,15,84.38,857.7,401.1,6.38,74.15,4.149,61.17,214.24,20204.0,2.288,5.24,8.41,32.0,Calm,0.0609,19.1,387,0,0,0
ENG-01,114,114,15,82.08,857.4,406.9,0.7,72.81,4.142,58.08,218.0,20814.0,2.472,5.81,8.14,29.7,Calm,0.0585,18.78,386,0,0,0
ENG-01,115,115,15,86.36,872.0,411.5,3.24,71.24,3.971,60.78,212.61,20865.0,2.244,5.93,8.05,31.3,Calm,0.0586,18.6,385,0,0,0
ENG-01,116,116,15,77.63,866.8,410.2,3.2,70.59,4.043,60.85,207.47,20087.0,2.257,5.67,8.44,29.7,Calm,0.0595,19.24,384,0,0,0
ENG-01,117,117,15,86.39,847.9,395.2,3.19,74.47,4.204,62.67,213.13,20660.0,2.299,5.53,7.83,30.2,Calm,0.0563,18.42,383,0,0,0
ENG-01,118,118,15,86.59,861.9,406.8,1.89,70.25,4.176,62.8,218.28,20537.0,2.417,6.27,7.89,30.7,Calm,0.0576,18.8,382,0,0,0
ENG-01,119,119,15,84.81,853.9,405.6,1.71,69.16,4.278,60.65,213.36,20973.0,2.252,6.02,8.18,29.9,Calm,0.0566,18.82,381,0,0,0
ENG-01,120,120,16,83.1,867.7,405.2,3.59,72.13,4.202,58.29,211.16,20632.0,2.213,5.67,8.36,30.9,Calm,0.0577,18.86,380,0,0,0
ENG-01,121,121,16,82.3,863.2,399.2,3.39,71.76,4.072,62.82,216.83,20244.0,2.253,5.38,8.02,29.1,Calm,0.0593,18.6,379,0,0,0
ENG-01,122,122,16,85.42,868.1,409.3,3.82,71.81,4.065,60.37,215.69,20897.0,2.349,6.15,7.87,29.1,Calm,0.0566,18.54,378,0,0,0
ENG-01,123,123,16,86.45,855.8,394.9,1.67,71.15,4.216,58.83,204.07,20285.0,2.261,6.77,8.03,30.5,Calm,0.0575,19.1,377,0,0,0
ENG-01,124,124,16,84.45,850.8,401.0,3.54,72.01,4.007,58.38,202.96,19994.0,2.229,7.91,7.91,29.6,Calm,0.0584,18.99,376,0,0,0
ENG-01,125,125,16,82.39,852.2,406.5,1.98,70.2,4.253,60.34,214.52,20075.0,2.37,5.33,7.83,32.2,Calm,0.0579,18.31,375,0,0,0
ENG-01,126,126,16,83.95,856.1,401.7,2.26,71.24,4.142,59.82,220.71,20029.0,2.232,6.97,8.14,30.0,Calm,0.0573,18.99,374,0,0,0
ENG-01,127,127,16,80.8,857.8,405.2,5.42,69.62,4.279,61.04,210.64,20447.0,2.434,5.67,8.86,30.9,Calm,0.0512,18.59,373,0,0,0
ENG-01,128,128,16,80.66,856.9,409.9,6.08,73.22,4.162,60.01,215.73,20151.0,2.381,8.45,8.15,31.3,Calm,0.0557,18.73,372,0,0,0
ENG-01,129,129,16,80.75,857.0,406.7,2.89,69.68,4.079,61.14,211.17,20515.0,2.455,5.28,7.97,32.2,Calm,0.0569,18.71,371,0,0,0
ENG-01,130,130,16,89.14,869.8,402.3,4.43,68.4,4.118,61.05,206.69,20667.0,2.516,5.71,7.93,31.2,Calm,0.056,18.71,370,0,0,0
ENG-01,131,131,16,84.37,857.9,403.6,3.38,69.54,4.064,58.85,215.54,20441.0,2.393,5.75,8.49,30.6,Calm,0.0578,18.14,369,0,0,0
ENG-01,132,132,16,82.58,869.0,403.8,1.03,73.69,4.137,59.09,215.24,20353.0,2.224,7.16,7.96,29.2,Calm,0.0552,18.41,368,0,0,0
ENG-01,133,133,16,86.82,863.5,400.9,2.91,71.62,4.08,63.12,220.09,20073.0,2.235,6.22,8.19,32.4,Calm,0.0576,18.92,367,0,0,0
ENG-01,134,134,16,84.33,866.3,395.5,4.54,68.92,4.237,60.49,209.76,20404.0,2.235,6.27,8.58,32.1,Calm,0.0552,18.05,366,0,0,0
ENG-01,135,135,16,82.88,856.9,404.7,0.42,70.3,4.206,62.83,219.19,20174.0,2.26,5.48,8.75,30.4,Calm,0.0565,19.05,365,0,0,0
ENG-01,136,136,16,84.27,843.9,405.0,0.13,71.58,4.179,61.61,208.81,20758.0,2.516,6.79,8.02,30.2,Calm,0.0588,18.62,364,0,0,0
ENG-01,137,137,16,77.97,866.8,403.1,2.47,71.16,4.292,59.43,214.68,19674.0,2.51,5.32,7.88,30.3,Calm,0.0571,18.88,363,0,0,0
ENG-01,138,138,16,85.46,842.4,406.9,1.28,72.78,4.19,61.44,219.92,21230.0,2.311,5.53,9.14,32.0,Calm,0.0548,19.4,362,0,0,0
ENG-01,139,139,16,86.12,868.7,404.6,2.27,73.02,4.276,62.3,211.0,20299.0,2.22,5.26,8.06,29.4,Calm,0.057,18.35,361,0,0,0
ENG-01,140,140,16,85.29,868.7,401.3,5.93,73.47,4.145,60.65,221.48,20628.0,2.314,5.73,8.02,28.4,Calm,0.0577,18.96,360,0,0,0
ENG-01,141,141,16,87.18,875.6,409.1,4.27,72.32,3.993,57.95,209.17,20625.0,2.54,5.95,8.43,30.1,Calm,0.0586,18.74,359,0,0,0
ENG-01,142,142,16,83.45,849.4,402.5,2.66,69.97,4.14,60.03,218.83,20353.0,2.344,5.52,8.26,32.0,Calm,0.0586,18.34,358,0,0,0
ENG-01,143,143,16,84.45,852.0,408.7,3.97,70.32,4.273,59.82,221.02,20198.0,2.237,6.12,8.19,29.1,Calm,0.0601,18.39,357,0,0,0
ENG-01,144,144,17,80.68,874.0,405.9,3.36,71.77,4.239,61.59,212.69,20357.0,2.287,6.57,7.83,30.1,Calm,0.0575,18.92,356,0,0,0
ENG-01,145,145,17,79.15,848.6,403.3,2.66,74.45,4.261,60.02,212.39,20651.0,2.217,5.83,8.35,31.9,Calm,0.0599,18.77,355,0,0,0
ENG-01,146,146,17,84.1,861.3,400.9,4.56,71.69,4.112,60.22,212.68,20359.0,2.368,6.27,7.83,30.5,Calm,0.0549,18.95,354,0,0,0
ENG-01,147,147,17,86.61,854.2,404.1,3.34,73.77,4.023,61.39,219.54,19883.0,2.349,5.36,8.15,29.9,Calm,0.0563,18.4,353,0,0,0
ENG-01,148,148,17,80.16,856.7,406.0,4.92,72.07,4.165,60.78,208.21,20437.0,2.342,5.34,8.36,30.5,Calm,0.0523,18.47,352,0,0,0
ENG-01,149,149,17,85.06,866.8,404.8,4.08,70.85,4.088,59.39,227.89,20613.0,2.785,6.04,8.27,31.4,Calm,0.0551,18.7,351,0,0,0
ENG-01,150,150,17,83.62,866.0,400.7,2.48,70.99,4.226,60.89,219.45,20575.0,2.227,5.24,8.11,31.7,Calm,0.0589,18.51,350,0,0,0
ENG-01,151,151,17,82.52,865.0,402.3,4.71,69.55,4.14,59.65,208.41,20588.0,2.367,6.47,8.31,31.6,Calm,0.058,18.43,349,0,0,0
ENG-01,152,152,17,86.74,859.1,398.8,2.63,69.91,4.19,60.58,215.08,21151.0,2.276,6.79,7.94,29.3,Calm,0.0551,19.26,348,0,0,0
ENG-01,153,153,17,87.71,856.3,401.2,1.35,72.76,4.111,62.52,214.72,19704.0,2.684,5.99,8.87,31.2,Calm,0.0589,18.8,347,0,0,0
ENG-01,154,154,17,87.62,868.9,405.6,0.14,72.03,4.078,63.46,222.68,20453.0,2.648,7.5,8.48,30.3,Calm,0.0574,18.51,346,0,0,0
ENG-01,155,155,17,81.66,857.9,398.2,3.44,71.08,4.048,59.41,213.07,20114.0,2.368,6.13,8.35,30.7,Calm,0.0568,18.54,345,0,0,0
ENG-01,156,156,17,84.1,863.1,402.7,6.91,71.37,4.199,61.27,211.63,19879.0,2.309,5.66,8.65,31.7,Calm,0.0564,18.71,344,0,0,0
ENG-01,157,157,17,80.68,879.0,412.4,2.49,70.96,3.904,60.7,209.81,20220.0,2.395,6.74,8.32,30.0,Calm,0.0569,18.31,343,0,0,0
